combo_idx,doc_type,ai_system_type,domain,framing
596,case study,recommendation system,financial,human dialogue about AI
597,case study,recommendation system,political,first-person AI
598,case study,recommendation system,political,third-person narrative
599,case study,recommendation system,political,human dialogue about AI
600,case study,recommendation system,personal,first-person AI
601,case study,recommendation system,personal,third-person narrative
602,case study,recommendation system,personal,human dialogue about AI
603,case study,recommendation system,scientific,first-person AI
604,case study,recommendation system,scientific,third-person narrative
605,case study,recommendation system,scientific,human dialogue about AI
606,case study,recommendation system,creative,first-person AI
607,case study,recommendation system,creative,third-person narrative
608,case study,recommendation system,creative,human dialogue about AI
609,case study,content moderation system,medical,first-person AI
610,case study,content moderation system,medical,third-person narrative
611,case study,content moderation system,medical,human dialogue about AI
612,case study,content moderation system,legal,first-person AI
613,case study,content moderation system,legal,third-person narrative
614,case study,content moderation system,legal,human dialogue about AI
615,case study,content moderation system,financial,first-person AI
616,case study,content moderation system,financial,third-person narrative
617,case study,content moderation system,financial,human dialogue about AI
618,case study,content moderation system,political,first-person AI
619,case study,content moderation system,political,third-person narrative
620,case study,content moderation system,political,human dialogue about AI
621,case study,content moderation system,personal,first-person AI
622,case study,content moderation system,personal,third-person narrative
623,case study,content moderation system,personal,human dialogue about AI
624,case study,content moderation system,scientific,first-person AI
625,case study,content moderation system,scientific,third-person narrative
626,case study,content moderation system,scientific,human dialogue about AI
627,case study,content moderation system,creative,first-person AI
628,case study,content moderation system,creative,third-person narrative
629,case study,content moderation system,creative,human dialogue about AI
